,date,state,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease
2292,2020-08-24,WA,22,992,1380050,1014
2293,2020-08-24,WI,414,4473,1195421,4887
2294,2020-08-24,WV,40,2421,398654,2461
2295,2020-08-24,WY,24,1106,66022,1130
2296,2020-08-23,AK,64,1089,327440,1153
2297,2020-08-23,AL,528,4859,921669,5387
2298,2020-08-23,AR,375,6187,665700,12235
2299,2020-08-23,AS,0,0,1514,0
2300,2020-08-23,AZ,208,6527,1150869,6730
2301,2020-08-23,CA,6777,97902,10541031,104679
2302,2020-08-23,CO,297,0,649740,11226
2303,2020-08-23,CT,0,0,1022370,0
2304,2020-08-23,DC,56,3550,266046,3606
2305,2020-08-23,DE,67,1902,221845,1969
2306,2020-08-23,FL,2974,23812,4432201,26786
2307,2020-08-23,GA,1727,20987,2171884,22714
2308,2020-08-23,GU,53,1022,32591,1075
2309,2020-08-23,HI,284,2350,176184,2634
2310,2020-08-23,IA,540,3081,581976,3621
2311,2020-08-23,ID,293,1134,237280,1400
2312,2020-08-23,IL,1893,52458,3705453,54351
2313,2020-08-23,IN,615,7541,977802,8156
2314,2020-08-23,KS,0,0,366315,0
2315,2020-08-23,KY,1264,0,749731,0
2316,2020-08-23,LA,1223,23808,1763838,25031
2317,2020-08-23,MA,0,0,1553673,0
2318,2020-08-23,MD,579,11876,1232896,12455
2319,2020-08-23,ME,18,3932,231701,3950
2320,2020-08-23,MI,764,73669,2533472,74433
2321,2020-08-23,MN,717,8347,1060320,16941
2322,2020-08-23,MO,818,9321,914833,10139
2323,2020-08-23,MP,0,0,12921,0
2324,2020-08-23,MS,626,0,534248,626
2325,2020-08-23,MT,53,980,210749,1033
2326,2020-08-23,NC,1472,24882,2078472,26354
2327,2020-08-23,ND,139,1707,190872,4402
2328,2020-08-23,NE,154,1625,338361,1779
2329,2020-08-23,NH,15,1374,196064,2466
2330,2020-08-23,NJ,258,0,2648998,258
2331,2020-08-23,NM,207,0,705162,207
2332,2020-08-23,NV,532,3571,574229,4103
2333,2020-08-23,NY,572,73471,7621159,74043
2334,2020-08-23,OH,637,22624,1983889,23261
2335,2020-08-23,OK,566,0,812500,566
2336,2020-08-23,OR,227,3129,519820,3356
2337,2020-08-23,PA,619,11848,1553020,12467
2338,2020-08-23,PR,319,0,335868,319
2339,2020-08-23,RI,88,2357,252571,5490
2340,2020-08-23,SC,693,-20489,892336,-19796
2341,2020-08-23,SD,141,989,136760,1130
2342,2020-08-23,TN,1854,35579,2045193,37433
2343,2020-08-23,TX,4398,22770,4668028,27168
2344,2020-08-23,UT,301,2172,624836,2473
2345,2020-08-23,VA,894,11518,1471196,12362
2346,2020-08-23,VI,0,0,14419,0
2347,2020-08-23,VT,4,1435,120043,1439
2348,2020-08-23,WA,61,2442,1379036,2503
2349,2020-08-23,WI,479,4361,1190525,4840
2350,2020-08-23,WV,87,4248,396193,4335
2351,2020-08-23,WY,36,0,64892,36
2352,2020-08-22,AK,91,4661,326287,4752
2353,2020-08-22,AL,1762,17420,916282,19503
2354,2020-08-22,AR,547,0,659138,0
2355,2020-08-22,AS,0,0,1514,0
2356,2020-08-22,AZ,996,15150,1144134,16137
2357,2020-08-22,CA,6556,100424,10436352,106980
2358,2020-08-22,CO,356,0,649443,12233
2359,2020-08-22,CT,0,0,1022370,0
2360,2020-08-22,DC,65,3317,262440,3382
2361,2020-08-22,DE,58,1810,219876,1868
2362,2020-08-22,FL,4311,30324,4405419,34635
2363,2020-08-22,GA,2592,26476,2149170,29068
2364,2020-08-22,GU,0,0,31516,0
2365,2020-08-22,HI,228,4650,173550,4878
2366,2020-08-22,IA,729,4487,578355,5216
2367,2020-08-22,ID,249,1824,235853,2056
2368,2020-08-22,IL,2356,54410,3651102,56766
2369,2020-08-22,IN,1000,10214,969646,11214
2370,2020-08-22,KS,0,0,366315,0
2371,2020-08-22,KY,0,0,748467,0
2372,2020-08-22,LA,0,0,1738807,0
2373,2020-08-22,MA,144,8192,1553673,13658
2374,2020-08-22,MD,624,15550,1220441,16174
